\myresidue{1},\myresidue{2},\myresidue{3},\myresidue{4},\myresidue{5},\myresidue{6},\myresidue{7},\myresidue{8},\myresidue{9},\myresidue{10}
1,1,1,1,1,2,2,3,23,4
6.5,4,3.5,1,3,2,2.5,6,46,40
9,6,8.5,2,5.5,6,4,8,63.5,72
12,13,10,4,21.5,9,13,20.5,94,189
13,23,10,7,25,12,26,22,124,408
4,3,2,5,4,26,8,4,5,5
6.5,7,4.5,6,5.5,36,13.5,6,8.5,7.5
10.5,10.5,5.5,7.5,7.5,55,18,20,10,16.5
15,13.5,17,9,15.5,83,31,25,17.5,29.5
25,21,21,13,28,83,39,49,30,48
