sans,avec
0.024364097,0.018608459
0.067713464,0.0491220825
0.104488355,0.0814200625
0.1505994795,0.145495905
0.212455367,0.233405385
0.008336807,0.008050882
0.125828929,0.035356258
0.163617828,0.05533777
0.2366968105,0.102390444
0.276657445,0.132839011
